ANO_ELEICAO,NR_TURNO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,DS_SIT_TOT_TURNO
2022,1,AC,AC,ACRE,3,GOVERNADOR,11,GLADSON DE LIMA CAMELI,GLADSON CAMELI,COLIGAÇÃO,11,PP,PROGRESSISTAS,#NULO,#NULO,#NULO, Avançar para fazer mais ,PP / PDT / Federação PSDB Cidadania(PSDB/CIDADANIA) / PODE / SOLIDARIEDADE / PATRIOTA / DC / PMN / PMB,ELEITO
2022,2,AL,AL,ALAGOAS,3,GOVERNADOR,15,PAULO SURUAGY DO AMARAL DANTAS,PAULO DANTAS,COLIGAÇÃO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NULO,#NULO,#NULO,ALAGOAS DAQUI PRA MELHOR,MDB / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PDT / PSC / PODE / SOLIDARIEDADE,ELEITO
2022,2,AM,AM,AMAZONAS,3,GOVERNADOR,44,WILSON MIRANDA LIMA,WILSON LIMA,COLIGAÇÃO,44,UNIÃO,UNIÃO BRASIL,#NULO,#NULO,#NULO,AQUI É TRABALHO,REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE,ELEITO
2022,1,AP,AP,AMAPÁ,3,GOVERNADOR,77,CLÉCIO LUÍS VILHENA VIEIRA,CLÉCIO,COLIGAÇÃO,77,SOLIDARIEDADE,SOLIDARIEDADE,#NULO,#NULO,#NULO,AMAPÁ PARA TODOS ,Federação PSDB Cidadania(PSDB/CIDADANIA) / REPUBLICANOS / PP / PL / PDT / UNIÃO / SOLIDARIEDADE,ELEITO
2022,2,BA,BA,BAHIA,3,GOVERNADOR,13,JERÔNIMO RODRIGUES SOUZA,JERÔNIMO,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,"PELA BAHIA, PELO BRASIL",Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / PSD / AVANTE / MDB,ELEITO
2022,1,CE,CE,CEARÁ,3,GOVERNADOR,13,ELMANO DE FREITAS DA COSTA,ELMANO DE FREITAS,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,CEARÁ CADA VEZ MAIS FORTE,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PP / MDB / PRTB / Federação PSOL REDE(PSOL/REDE) / SOLIDARIEDADE,ELEITO
2022,1,DF,DF,DISTRITO FEDERAL,3,GOVERNADOR,15,IBANEIS ROCHA BARROS JÚNIOR,IBANEIS ROCHA,COLIGAÇÃO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NULO,#NULO,#NULO,UNIDOS PELO DF,PTB / AVANTE / PROS / AGIR / PP / SOLIDARIEDADE / MDB / PL / PATRIOTA,ELEITO
2022,2,ES,ES,ESPÍRITO SANTO,3,GOVERNADOR,40,JOSÉ RENATO CASAGRANDE,RENATO CASAGRANDE,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO,#NULO,#NULO,JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE,MDB / PP / PROS / PSB / PODE / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / Federação PSDB Cidadania(PSDB/CIDADANIA) / PDT,ELEITO
2022,1,GO,GO,GOIÁS,3,GOVERNADOR,44,RONALDO RAMOS CAIADO,RONALDO CAIADO,COLIGAÇÃO,44,UNIÃO,UNIÃO BRASIL,#NULO,#NULO,#NULO,Pra Seguir em Frente,MDB / UNIÃO / PODE / PTB / PSC / PSD / AVANTE / PRTB / PP / SOLIDARIEDADE / PROS / PDT,ELEITO
2022,1,MA,MA,MARANHÃO,3,GOVERNADOR,40,CARLOS ORLEANS BRANDÃO JÚNIOR,CARLOS BRANDÃO,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO,#NULO,#NULO,PARA O BEM DO MARANHÃO,PSB / MDB / PP / PATRIOTA / PODE / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / Federação PSDB Cidadania(PSDB/CIDADANIA),ELEITO
2022,1,MG,MG,MINAS GERAIS,3,GOVERNADOR,30,ROMEU ZEMA NETO,ZEMA,COLIGAÇÃO,30,NOVO,PARTIDO NOVO,#NULO,#NULO,#NULO,MINAS NOS TRILHOS ,PP / PODE / SOLIDARIEDADE / PATRIOTA / AVANTE / PMN / AGIR / DC / MDB / NOVO,ELEITO
2022,2,MS,MS,MATO GROSSO DO SUL,3,GOVERNADOR,45,EDUARDO CORREA RIEDEL,EDUARDO RIEDEL,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,COLIGAÇÃO TRABALHANDO POR UM NOVO FUTURO ,Federação PSDB Cidadania(PSDB/CIDADANIA) / REPUBLICANOS / PP / PSB / PL / PDT,ELEITO
2022,1,MT,MT,MATO GROSSO,3,GOVERNADOR,44,MAURO MENDES FERREIRA,MAURO MENDES,COLIGAÇÃO,44,UNIÃO,UNIÃO BRASIL,#NULO,#NULO,#NULO,"Coligação Mato Grosso Avançando,  Sua Vida Melhorando",Federação PSDB Cidadania(PSDB/CIDADANIA) / UNIÃO / REPUBLICANOS / PL / MDB / PODE / PSB / PROS,ELEITO
2022,1,PA,PA,PARÁ,3,GOVERNADOR,15,HELDER ZAHLUTH BARBALHO,HELDER,COLIGAÇÃO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NULO,#NULO,#NULO,PRA SEGUIR EM FRENTE,MDB / Federação PSDB Cidadania(PSDB/CIDADANIA) / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PP / PSD / PDT / REPUBLICANOS / AVANTE / PODE / UNIÃO / DC / PTB / PSB,ELEITO
2022,2,PB,PB,PARAÍBA,3,GOVERNADOR,40,JOÃO AZEVEDO LINS FILHO,JOÃO,COLIGAÇÃO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO,#NULO,#NULO,JUNTOS PELA PARAÍBA,PSB / AGIR / PP / AVANTE / PMN / PSD / SOLIDARIEDADE / PODE / REPUBLICANOS / PATRIOTA / PROS,ELEITO
2022,2,PE,PE,PERNAMBUCO,3,GOVERNADOR,45,RAQUEL TEIXEIRA LYRA LUCENA,RAQUEL LYRA,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,Pernambuco Quer Mudar,Federação PSDB Cidadania(PSDB/CIDADANIA) / PRTB,ELEITO
2022,1,PI,PI,PIAUÍ,3,GOVERNADOR,13,RAFAEL TAJRA FONTELES,RAFAEL FONTELES,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,A FORÇA DO POVO,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / MDB / PSD / SOLIDARIEDADE / PSB / PROS / AGIR,ELEITO
2022,1,PR,PR,PARANÁ,3,GOVERNADOR,55,CARLOS ROBERTO MASSA JUNIOR,CARLOS MASSA RATINHO JUNIOR,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,#NULO,#NULO,#NULO,A MUDANÇA NÃO PARA. PRA FRENTE PARANÁ,REPUBLICANOS / MDB / SOLIDARIEDADE / PL / PSD / UNIÃO / PMB / PP / AGIR / PROS / PTB,ELEITO
2022,1,RJ,RJ,RIO DE JANEIRO,3,GOVERNADOR,22,CLÁUDIO BOMFIM DE CASTRO E SILVA,CLÁUDIO CASTRO,COLIGAÇÃO,22,PL,PARTIDO LIBERAL,#NULO,#NULO,#NULO,RIO UNIDO E MAIS FORTE,AVANTE / DC / MDB / PL / PMN / PODE / PP / PROS / PRTB / PSC / PTB / REPUBLICANOS / SOLIDARIEDADE / UNIÃO,ELEITO
2022,1,RN,RN,RIO GRANDE DO NORTE,3,GOVERNADOR,13,MARIA DE FATIMA BEZERRA,FATIMA BEZERRA,COLIGAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,O MELHOR VAI COMEÇAR!,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PDT / MDB / PROS / REPUBLICANOS,ELEITO
2022,2,RO,RO,RONDÔNIA,3,GOVERNADOR,44,MARCOS JOSÉ ROCHA DOS SANTOS,CORONEL MARCOS ROCHA,COLIGAÇÃO,44,UNIÃO,UNIÃO BRASIL,#NULO,#NULO,#NULO,"COMPROMISSO, TRABALHO E FÉ",UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA),ELEITO
2022,1,RR,RR,RORAIMA,3,GOVERNADOR,11,ANTONIO OLIVERIO GARCIA DE ALMEIDA,ANTONIO DENARIUM,COLIGAÇÃO,11,PP,PROGRESSISTAS,#NULO,#NULO,#NULO,RORAIMA TRABALHANDO E DEUS ABENÇOANDO,PSD / PP / PRTB / REPUBLICANOS / UNIÃO / Federação PSDB Cidadania(PSDB/CIDADANIA),ELEITO
2022,2,RS,RS,RIO GRANDE DO SUL,3,GOVERNADOR,45,EDUARDO FIGUEIREDO CAVALHEIRO LEITE,EDUARDO LEITE,COLIGAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,Um só Rio Grande,Federação PSDB Cidadania(PSDB/CIDADANIA) / MDB / PSD / PODE / UNIÃO,ELEITO
2022,2,SC,SC,SANTA CATARINA,3,GOVERNADOR,22,JORGINHO DOS SANTOS MELLO,JORGINHO MELLO,PARTIDO ISOLADO,22,PL,PARTIDO LIBERAL,#NULO,#NULO,#NULO,PARTIDO ISOLADO,PL,ELEITO
2022,2,SE,SE,SERGIPE,3,GOVERNADOR,55,FÁBIO CRUZ MITIDIERI,FÁBIO,COLIGAÇÃO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,#NULO,#NULO,#NULO,NOVO TEMPO PRA SERGIPE,PDT / PSC / UNIÃO / REPUBLICANOS / PP / PSD / AVANTE,ELEITO
2022,2,SP,SP,SÃO PAULO,3,GOVERNADOR,10,TARCISIO GOMES DE FREITAS,TARCÍSIO,COLIGAÇÃO,10,REPUBLICANOS,REPUBLICANOS,#NULO,#NULO,#NULO,SÃO PAULO PODE MAIS,REPUBLICANOS / PL / PSD / PTB / PSC / PMN,ELEITO
2022,1,TO,TO,TOCANTINS,3,GOVERNADOR,10,WANDERLEI BARBOSA CASTRO,WANDERLEI BARBOSA,COLIGAÇÃO,10,REPUBLICANOS,REPUBLICANOS,#NULO,#NULO,#NULO,União pelo Tocantins,Federação PSDB Cidadania(PSDB/CIDADANIA) / UNIÃO / PDT / SOLIDARIEDADE / PTB / REPUBLICANOS / PSC,ELEITO
